,Feature Importance
Sunrise,0.186241611838
Longitude,0.119127519429
AvgSpeed,0.0805369094014
Tmin,0.0587248317897
Latitude,0.0536912754178
ResultSpeed,0.0520134232938
StnPressure,0.0469798669219
Tmax,0.0369127504528
Species_CULEX RESTUANS,0.0352348983288
Tavg,0.0285234898329
ResultDir,0.0268456377089
Species_CULEX TERRITANS,0.0251677855849
Block,0.0251677855849
Depart,0.021812081337
DewPoint,0.0201342273504
Trap_T225,0.0134228188545
Trap_T003,0.0117449667305
TS,0.0117449667305
BR,0.0100671136752
Trap_T235,0.0100671136752
Trap_T017,0.0083892615512
Trap_T094,0.0083892615512
Trap_T028,0.00671140942723
Species_CULEX SALINARIUS,0.00671140942723
Species_CULEX PIPIENS/RESTUANS,0.00671140942723
Trap_T082,0.00671140942723
Species_CULEX PIPIENS,0.00503355683759
zip_code_60617,0.00503355683759
Trap_T046,0.00503355683759
zip_code_60608,0.00503355683759
RA,0.00503355683759
Trap_T096,0.00335570471361
Trap_T212,0.00335570471361
Trap_T061,0.00335570471361
zip_code_60631,0.00335570471361
Trap_T230,0.00335570471361
SeaLevel,0.00335570471361
Trap_T008,0.00335570471361
zip_code_60707,0.00335570471361
WetBulb,0.00335570471361
Trap_T128,0.00335570471361
Trap_T002,0.00335570471361
Trap_T115,0.00167785235681
Trap_T221,0.00167785235681
AddressAccuracy,0.00167785235681
zip_code_60626,0.00167785235681
zip_code_60609,0.00167785235681
zip_code_60630,0.00167785235681
zip_code_60651,0.00167785235681
zip_code_60618,0.00167785235681
zip_code_60605,0.00167785235681
Trap_T013,0.00167785235681
zip_code_60643,0.00167785235681
Trap_T103,0.00167785235681
Trap_T226,0.0
Trap_T157,0.0
Trap_T224,0.0
Trap_T156,0.0
Trap_T233,0.0
Trap_T227,0.0
Trap_T232,0.0
Trap_T155,0.0
Trap_T231,0.0
Trap_T152,0.0
Trap_T154,0.0
Trap_T229,0.0
Trap_T228,0.0
Trap_T219,0.0
Trap_T223,0.0
Trap_T206,0.0
Trap_T160,0.0
Trap_T236,0.0
Trap_T161,0.0
Trap_T162,0.0
Trap_T200,0.0
Trap_T150,0.0
Trap_T153,0.0
Trap_T222,0.0
Trap_T158,0.0
Trap_T151,0.0
Trap_T215,0.0
Trap_T218,0.0
Trap_T159,0.0
Trap_T220,0.0
Trap_T209,0.0
zip_code_60620,0.0
Trap_T237,0.0
zip_code_60647,0.0
zip_code_60637,0.0
zip_code_60638,0.0
zip_code_60639,0.0
zip_code_60640,0.0
zip_code_60641,0.0
zip_code_60642,0.0
zip_code_60645,0.0
zip_code_60646,0.0
zip_code_60649,0.0
zip_code_60634,0.0
zip_code_60652,0.0
zip_code_60654,0.0
zip_code_60655,0.0
zip_code_60656,0.0
zip_code_60659,0.0
zip_code_60660,0.0
zip_code_60666,0.0
zip_code_60803,0.0
zip_code_60636,0.0
zip_code_60633,0.0
Trap_T238,0.0
zip_code_60614,0.0
Trap_T900,0.0
Trap_T903,0.0
zip_code_60018,0.0
zip_code_60106,0.0
zip_code_60607,0.0
zip_code_60611,0.0
zip_code_60612,0.0
zip_code_60613,0.0
zip_code_60615,0.0
zip_code_60632,0.0
zip_code_60619,0.0
Trap_T148,0.0
zip_code_60621,0.0
zip_code_60622,0.0
zip_code_60623,0.0
zip_code_60625,0.0
zip_code_60628,0.0
zip_code_60629,0.0
Trap_T149,0.0
Trap_T097,0.0
Trap_T147,0.0
Trap_T016,0.0
Trap_T019,0.0
Trap_T025,0.0
Trap_T027,0.0
Trap_T030,0.0
Trap_T031,0.0
Trap_T033,0.0
Trap_T034,0.0
Trap_T035,0.0
Trap_T036,0.0
Trap_T037,0.0
Trap_T039,0.0
Trap_T040,0.0
Trap_T043,0.0
Trap_T044,0.0
Trap_T045,0.0
Trap_T047,0.0
Trap_T048,0.0
Trap_T049,0.0
Trap_T050,0.0
Trap_T018,0.0
Trap_T015,0.0
Trap_T054,0.0
Trap_T014,0.0
Sunset,0.0
hours_in_day,0.0
Heat,0.0
Cool,0.0
DZ,0.0
FG,0.0
HZ,0.0
TSRA,0.0
VCTS,0.0
Species_CULEX ERRATICUS,0.0
Species_CULEX TARSALIS,0.0
Trap_T001,0.0
Trap_T004,0.0
Trap_T005,0.0
Trap_T006,0.0
Trap_T007,0.0
Trap_T009,0.0
Trap_T011,0.0
Trap_T012,0.0
Trap_T051,0.0
Trap_T054C,0.0
Trap_T146,0.0
Trap_T086,0.0
Trap_T089,0.0
Trap_T090,0.0
Trap_T091,0.0
Trap_T092,0.0
Trap_T094B,0.0
Trap_T095,0.0
Trap_T099,0.0
Trap_T100,0.0
Trap_T102,0.0
Trap_T107,0.0
Trap_T114,0.0
Trap_T129,0.0
Trap_T135,0.0
Trap_T138,0.0
Trap_T141,0.0
Trap_T142,0.0
Trap_T143,0.0
Trap_T144,0.0
Trap_T145,0.0
Trap_T088,0.0
Trap_T085,0.0
Trap_T060,0.0
Trap_T084,0.0
Trap_T062,0.0
Trap_T063,0.0
Trap_T065,0.0
Trap_T066,0.0
Trap_T067,0.0
Trap_T069,0.0
Trap_T070,0.0
Trap_T071,0.0
Trap_T072,0.0
Trap_T073,0.0
Trap_T074,0.0
Trap_T075,0.0
Trap_T076,0.0
Trap_T077,0.0
Trap_T078,0.0
Trap_T079,0.0
Trap_T080,0.0
Trap_T081,0.0
Trap_T083,0.0
zip_code_60827,0.0
